,address,price,beds,baths,sqft,type,links
64,"1417 N 2475 W, Layton, UT 84041","$499,900",4,4,"2,103",Single-Family Home,https://www.zillow.com/homedetails/1417-N-2475-W-Layton-UT-84041/68441248_zpid/
65,"1006 W 2200 N, Layton, UT 84041","$374,900",4,2,"1,889",Single-Family Home,https://www.zillow.com/homedetails/1006-W-2200-N-Layton-UT-84041/12682963_zpid/
66,"147 E 975 S, Layton, UT 84041","$639,900",4,3,"3,242",Single-Family Home,https://www.zillow.com/homedetails/147-E-975-S-Layton-UT-84041/304690892_zpid/
67,"146 S 1125 W, Layton, UT 84041","$540,000",6,3,"2,574",Single-Family Home,https://www.zillow.com/homedetails/146-S-1125-W-Layton-UT-84041/68440642_zpid/
68,"1456 E Kayscreek Dr #42, Layton, UT 84040","$415,000",4,3,"2,991",Single-Family Home,https://www.zillow.com/homedetails/1456-E-Kayscreek-Dr-42-Layton-UT-84040/2062514258_zpid/
69,"1988 E 1300 N, Layton, UT 84040","$469,900",4,3,"2,472",Single-Family Home,https://www.zillow.com/homedetails/1988-E-1300-N-Layton-UT-84040/12686120_zpid/
70,"2453 W Sunburst Dr, Layton, UT 84041","$630,000",6,3,"3,225",Single-Family Home,https://www.zillow.com/homedetails/2453-W-Sunburst-Dr-Layton-UT-84041/249104598_zpid/
71,"1018 W 2600 N, Layton, UT 84041","$460,000",4,4,"2,058",Single-Family Home,https://www.zillow.com/homedetails/1018-W-2600-N-Layton-UT-84041/12685132_zpid/
72,"2239 N 475 W #25, Layton, UT 84041","$489,900",4,3,"2,104",Town House,https://www.zillow.com/homedetails/2239-N-475-W-25-Layton-UT-84041/2071359325_zpid/
73,"1417 N 2475 W, Layton, UT 84041","$499,900",4,4,"2,103",Single-Family Home,https://www.zillow.com/homedetails/1417-N-2475-W-Layton-UT-84041/68441248_zpid/
74,"1006 W 2200 N, Layton, UT 84041","$374,900",4,2,"1,889",Single-Family Home,https://www.zillow.com/homedetails/1006-W-2200-N-Layton-UT-84041/12682963_zpid/
75,"147 E 975 S, Layton, UT 84041","$639,900",4,3,"3,242",Single-Family Home,https://www.zillow.com/homedetails/147-E-975-S-Layton-UT-84041/304690892_zpid/
76,"146 S 1125 W, Layton, UT 84041","$540,000",6,3,"2,574",Single-Family Home,https://www.zillow.com/homedetails/146-S-1125-W-Layton-UT-84041/68440642_zpid/
77,"1456 E Kayscreek Dr #42, Layton, UT 84040","$415,000",4,3,"2,991",Single-Family Home,https://www.zillow.com/homedetails/1456-E-Kayscreek-Dr-42-Layton-UT-84040/2062514258_zpid/
78,"1988 E 1300 N, Layton, UT 84040","$469,900",4,3,"2,472",Single-Family Home,https://www.zillow.com/homedetails/1988-E-1300-N-Layton-UT-84040/12686120_zpid/
79,"2453 W Sunburst Dr, Layton, UT 84041","$630,000",6,3,"3,225",Single-Family Home,https://www.zillow.com/homedetails/2453-W-Sunburst-Dr-Layton-UT-84041/249104598_zpid/
80,"1018 W 2600 N, Layton, UT 84041","$460,000",4,4,"2,058",Single-Family Home,https://www.zillow.com/homedetails/1018-W-2600-N-Layton-UT-84041/12685132_zpid/
81,"2239 N 475 W #25, Layton, UT 84041","$489,900",4,3,"2,104",Town House,https://www.zillow.com/homedetails/2239-N-475-W-25-Layton-UT-84041/2071359325_zpid/
82,"1417 N 2475 W, Layton, UT 84041","$499,900",4,4,"2,103",Single-Family Home,https://www.zillow.com/homedetails/1417-N-2475-W-Layton-UT-84041/68441248_zpid/
83,"1006 W 2200 N, Layton, UT 84041","$374,900",4,2,"1,889",Single-Family Home,https://www.zillow.com/homedetails/1006-W-2200-N-Layton-UT-84041/12682963_zpid/
84,"147 E 975 S, Layton, UT 84041","$639,900",4,3,"3,242",Single-Family Home,https://www.zillow.com/homedetails/147-E-975-S-Layton-UT-84041/304690892_zpid/
85,"146 S 1125 W, Layton, UT 84041","$540,000",6,3,"2,574",Single-Family Home,https://www.zillow.com/homedetails/146-S-1125-W-Layton-UT-84041/68440642_zpid/
86,"1456 E Kayscreek Dr #42, Layton, UT 84040","$415,000",4,3,"2,991",Single-Family Home,https://www.zillow.com/homedetails/1456-E-Kayscreek-Dr-42-Layton-UT-84040/2062514258_zpid/
87,"1988 E 1300 N, Layton, UT 84040","$469,900",4,3,"2,472",Single-Family Home,https://www.zillow.com/homedetails/1988-E-1300-N-Layton-UT-84040/12686120_zpid/
88,"2453 W Sunburst Dr, Layton, UT 84041","$630,000",6,3,"3,225",Single-Family Home,https://www.zillow.com/homedetails/2453-W-Sunburst-Dr-Layton-UT-84041/249104598_zpid/
